id,time_observed_at,user_id,created_at,quality_grade,license,url,tag_list,description,latitude,longitude,scientific_name,common_name,iconic_taxon_name
105284181,2022-01-20 18:57:00 UTC,4033819,2022-01-20 22:35:38 UTC,research,,https://www.inaturalist.org/observations/105284181,"",Atropellada en la ruta,-30.9993048943,-56.8704710528,Didelphis albiventris,Comadreja overa,Mammalia
105329340,2022-01-21 18:28:50 UTC,5071058,2022-01-21 21:29:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/105329340,"",,-34.68491,-54.29569,Psomophis obtusus,Culebra Castaña de Vientre Rojo,Reptilia
105435952,2022-01-23 12:38:56 UTC,4033819,2022-01-23 15:55:04 UTC,research,,https://www.inaturalist.org/observations/105435952,"","Atropellado en la ruta 4, Artigas",-31.0181583891,-56.8857391924,Ophiodes striatus,Víbora de cristal,Reptilia
105499156,2022-01-24 13:06:30 UTC,4033819,2022-01-24 14:09:24 UTC,research,,https://www.inaturalist.org/observations/105499156,"",,-31.0409701844,-56.8989785761,Salvator merianae,Lagarto Overo,Reptilia
105499481,2022-01-24 12:58:50 UTC,4033819,2022-01-24 14:15:51 UTC,research,,https://www.inaturalist.org/observations/105499481,"",,-31.0445077771,-56.9019129127,Oxyrhopus rhombifer rhombifer,,Reptilia
105555844,2022-01-25 10:38:19 UTC,4033819,2022-01-25 15:07:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/105555844,"","Atropellada en la ruta 4 de Pueblo Sequeira, Artigas",-30.9993048943,-56.8704710528,Hydromedusa tectifera,Tortuga cuello de serpiente,Reptilia
105586056,2022-01-25 21:49:48 UTC,4033819,2022-01-26 01:05:53 UTC,research,,https://www.inaturalist.org/observations/105586056,"",,-31.0335300387,-56.8967235088,Salvator merianae,Lagarto Overo,Reptilia
105586315,2022-01-25 21:04:58 UTC,4033819,2022-01-26 01:11:45 UTC,research,CC-BY,https://www.inaturalist.org/observations/105586315,"",,-30.9993048943,-56.8704710528,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
105645341,2021-12-05 01:28:00 UTC,2595924,2022-01-27 02:47:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105645341,"","",-33.6755599452,-55.8531347931,Dasypus septemcinctus,Armadillo de siete bandas,Mammalia
105665859,2022-01-25 12:13:15 UTC,4033819,2022-01-27 15:41:01 UTC,research,,https://www.inaturalist.org/observations/105665859,"",,-30.9769904878,-56.8566452712,Nothura maculosa,Perdiz,Aves
105692309,2022-01-27 22:44:39 UTC,4033819,2022-01-28 01:32:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/105692309,"",,-31.053427155,-56.9117525965,Oxyrhopus rhombifer rhombifer,,Reptilia
105693507,2022-01-27 22:38:14 UTC,4033819,2022-01-28 02:01:49 UTC,research,CC-BY,https://www.inaturalist.org/observations/105693507,"",,-31.053079323,-56.9104889408,Erythrolamprus poecilogyrus,Culebra verde y amarilla,Reptilia
105710361,2022-01-27 21:51:00 UTC,4033819,2022-01-28 11:29:51 UTC,research,,https://www.inaturalist.org/observations/105710361,"",,-31.0174595927,-56.8864496425,Nothura maculosa,Perdiz,Aves
