Punto,Fecha,Hora,Especie,N,Observaciones
SG04-1,08-07-20,23:54:54,C. chinga,1,
SG04-1,15-07-20,06:05:24,L. gymnocercus,1,
SG04-1,19-07-20,07:47:36,L. gymnocercus,1,
SG04-1,20-07-20,07:10:52,L. wiedii,1,
SG04-1,20-07-20,17:44:45,L. wiedii,1,
SG04-1,23-07-20,06:27:17,L. geoffroyi,1,
SG04-3,06-07-20,15:14:14,L. europaeus,1,
SG04-3,08-07-20,08:21:00,L. europaeus,1,
SG04-3,17-07-20,02:52:56,L. geoffroyi,1,
SG04-3,17-07-20,23:35:27,D. novemcinctus,1,
SG04-3,22-07-20,17:59:23,L. europaeus,1,
SG03-1,04-07-20,03:56:49,C. thous,1,
SG03-1,05-07-20,23:44:50,C. thous,1,
SG03-1,07-07-20,08:12:24,L. europaeus,1,
SG03-1,10-07-20,08:46:50,L. europaeus,1,
SG03-1,10-07-20,17:18:59,L. europaeus,1,
SG03-1,10-07-20,21:08:14,C. thous,1,
SG03-1,12-07-20,06:45:18,M. gouazoubira,1,
SG03-1,12-07-20,19:21:05,D. novemcinctus,1,
SG03-1,16-07-20,18:17:54,L. europaeus,1,
SG03-1,17-07-20,05:08:59,C. thous,1,
SG03-1,17-07-20,21:23:20,D. novemcinctus,1,
SG03-1,30-07-20,13:36:19,A. axis,1,
SG03-1,30-07-20,16:02:31,A. axis,1,
SG03-1,02-08-20,04:52:12,L. geoffroyi,1,melánico
SG03-1,03-08-20,22:55:17,D. hybridus,1,
SG03-1,04-08-20,18:24:49,L. europaeus,1,
SG03-1,10-08-20,22:51:32,C. thous,1,
SG03-1,14-08-20,07:22:00,L. europaeus,1,
SG03-1,14-08-20,18:29:09,L. europaeus,1,
SG01-1,15-07-20,15:20:38,C. thous,1,
SG03-3,03-07-20,20:49:00,C. thous,1,
SG03-3,04-07-20,10:40:00,C. familiaris,1,
SG03-3,04-07-20,14:45:00,C. familiaris,1,
SG03-3,05-07-20,08:55:00,C. familiaris,1,
SG03-3,07-07-20,16:45:00,C. familiaris,1,
